Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 7.4, 'memory': 39.9, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 7.6, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 7.5, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 7.3, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 6.4, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 6.4, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 6.1, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 6.8, 'memory': 39.5, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 6.9, 'memory': 39.5, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 7.5, 'memory': 39.5, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 8.8, 'memory': 39.4, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 8.7, 'memory': 39.4, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 8.2, 'memory': 39.4, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 6.5, 'memory': 39.3, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 6.5, 'memory': 39.3, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 6.4, 'memory': 39.3, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 4.1, 'memory': 39.2, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 4.1, 'memory': 39.2, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 4.2, 'memory': 39.2, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 15, 'cpu': 6.1, 'memory': 39.2, 'switches': {6: 2, 1: 1, 3: 2, 8: 2, 2: 1, 7: 1, 9: 2, 4: 2, 5: 2}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 6.2, 'memory': 39.2, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 6.6, 'memory': 39.2, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 481, 'cpu': 30.8, 'memory': 39.1, 'switches': {6: 56, 1: 46, 3: 55, 8: 65, 2: 55, 7: 47, 9: 47, 4: 46, 5: 64}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 30.8, 'memory': 39.1, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 30.8, 'memory': 39.1, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 28, 'cpu': 16.5, 'memory': 39.3, 'switches': {6: 3, 1: 3, 3: 3, 8: 3, 2: 4, 7: 3, 9: 3, 4: 3, 5: 3}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 16.5, 'memory': 39.3, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 16.6, 'memory': 39.3, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 36, 'cpu': 20.4, 'memory': 39.5, 'switches': {6: 4, 1: 4, 3: 4, 8: 4, 2: 4, 7: 4, 9: 4, 4: 4, 5: 4}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 20.5, 'memory': 39.5, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 20.2, 'memory': 39.5, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 17, 'cpu': 15.3, 'memory': 39.6, 'switches': {6: 2, 1: 2, 3: 2, 8: 2, 2: 2, 7: 2, 9: 1, 4: 2, 5: 2}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 15.3, 'memory': 39.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 15.2, 'memory': 39.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 1, 'cpu': 41.6, 'memory': 39.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 1, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 41.7, 'memory': 39.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 43.7, 'memory': 39.6, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 31, 'cpu': 51.1, 'memory': 39.5, 'switches': {6: 3, 1: 3, 3: 3, 8: 5, 2: 2, 7: 5, 9: 3, 4: 3, 5: 4}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 51.1, 'memory': 39.5, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 51.7, 'memory': 39.4, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 72, 'cpu': 55.6, 'memory': 39.7, 'switches': {6: 7, 1: 10, 3: 9, 8: 6, 2: 10, 7: 7, 9: 9, 4: 7, 5: 7}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 55.5, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 55.7, 'memory': 39.7, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 55.7, 'memory': 39.9, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 12, 'cpu': 55.7, 'memory': 39.9, 'switches': {6: 2, 1: 1, 3: 1, 8: 1, 2: 1, 7: 1, 9: 1, 4: 2, 5: 2}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 55.9, 'memory': 39.9, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 52.6, 'memory': 39.9, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_124378151403184', 'packet_in': 0, 'cpu': 52.6, 'memory': 39.9, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_126936795348656', 'packet_in': 0, 'cpu': 52.1, 'memory': 39.9, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
Sent: {'controller_id': 'medusu_140584107376304', 'packet_in': 0, 'cpu': 48.3, 'memory': 40.0, 'switches': {6: 0, 1: 0, 3: 0, 8: 0, 2: 0, 7: 0, 9: 0, 4: 0, 5: 0}}
